serviceProcessId,machineId,start,end
sp001,rt001,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp001,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp003,rt003,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp004,rt001,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp005,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp006,rt003,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp007,rt001,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp008,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp009,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp010,rt003,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp011,rt001,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp012,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp013,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp014,rt003,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp015,rt001,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp016,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp017,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp018,rt003,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp019,rt001,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp020,rt002,2024-10-09T07:55:55.695Z,2024-10-09T08:55:55.695Z
sp021,rt001,2025-02-04T09:55:55.695Z,2025-02-04T10:55:55.695Z
sp022,rt002,2025-02-08T05:55:55.695Z,2025-02-08T06:55:55.695Z
sp022,rt008,2025-02-08T09:55:55.695Z,2025-02-08T10:55:55.695Z
sp023,rt002,2025-02-08T08:55:55.695Z,2025-02-08T09:55:55.695Z
sp023,rt006,2025-02-08T06:55:55.695Z,2025-02-08T07:55:55.695Z
sp024,rt007,2025-02-16T06:55:55.695Z,2025-02-16T07:55:55.695Z
sp025,rt009,2025-02-04T07:55:55.695Z,2025-02-04T08:55:55.695Z
sp025,rt003,2025-02-04T05:55:55.695Z,2025-02-04T06:55:55.695Z
sp026,rt003,2025-03-06T09:55:55.695Z,2025-03-06T10:55:55.695Z
